id,creation_date,post_id,vote_type_id
9268432,8/19/2010 0:00:00,3017113,11
9557667,9/4/2010 0:00:00,3641540,11
239851616,10/7/2021 0:00:00,69482595,15
239931625,10/9/2021 0:00:00,68485595,15
136838968,4/17/2017 0:00:00,43459730,12
137134489,4/21/2017 0:00:00,42229975,9
137183582,4/22/2017 0:00:00,42695567,9
245218351,1/17/2022 0:00:00,70745836,11
57016016,11/9/2013 0:00:00,1467,15
239020455,9/22/2021 0:00:00,69282930,11
239373249,9/29/2021 0:00:00,69179049,15
239399221,9/29/2021 0:00:00,69375701,11
239413331,9/29/2021 0:00:00,69378965,11
7951044,6/4/2010 0:00:00,2950667,8
7951942,6/4/2010 0:00:00,2975445,11
8159948,6/17/2010 0:00:00,3036632,8
8191139,6/18/2010 0:00:00,3051692,8
135853892,4/3/2017 0:00:00,43181130,11
136362526,4/10/2017 0:00:00,43232177,15
232122834,5/20/2021 0:00:00,67619769,11
155070444,1/15/2018 0:00:00,48222332,8
155157176,1/16/2018 0:00:00,9903962,15
43415390,3/18/2013 0:00:00,15465565,15
43885565,3/25/2013 0:00:00,15205152,8
44084137,3/28/2013 0:00:00,15668422,15
44199263,3/30/2013 0:00:00,15722497,11
44225077,3/31/2013 0:00:00,3898086,15
36506937,11/15/2012 0:00:00,13397485,11
37253115,11/29/2012 0:00:00,13621027,15
225877486,2/6/2021 0:00:00,66024291,15
50737345,7/19/2013 0:00:00,17722782,15
50920825,7/23/2013 0:00:00,17612169,9
50976972,7/24/2013 0:00:00,17825917,15
116687800,6/23/2016 0:00:00,37988453,15
116734693,6/24/2016 0:00:00,38012605,15
97232814,9/12/2015 0:00:00,32539410,11
97328465,9/14/2015 0:00:00,13883618,15
97509191,9/16/2015 0:00:00,32570825,8
129138824,12/28/2016 0:00:00,41363195,11
129591421,1/5/2017 0:00:00,5550594,15
180627068,2/10/2019 0:00:00,54616626,15
181186134,2/18/2019 0:00:00,54743116,15
174213281,10/30/2018 0:00:00,53063667,11
174520591,11/4/2018 0:00:00,53139861,15
83752135,2/18/2015 0:00:00,28581123,11
63634014,3/1/2014 0:00:00,22117420,15
63691646,3/3/2014 0:00:00,22088199,15
22978952,1/10/2012 0:00:00,8789048,15
23094052,1/13/2012 0:00:00,8830118,15
23160305,1/15/2012 0:00:00,8868464,12
23236436,1/17/2012 0:00:00,8485205,15
104062329,12/24/2015 0:00:00,34452911,11
168380903,7/31/2018 0:00:00,51559446,8
14841769,5/8/2011 0:00:00,5341314,15
29804464,6/27/2012 0:00:00,11144229,8
29937661,6/30/2012 0:00:00,11274545,11
187119874,5/19/2019 0:00:00,56091069,8
122752329,9/22/2016 0:00:00,38156180,8
213321722,7/13/2020 0:00:00,62773883,9
77197745,10/23/2014 0:00:00,26466938,15
77544777,10/29/2014 0:00:00,22892687,15
77647218,10/31/2014 0:00:00,26675728,15
149218824,10/15/2017 0:00:00,46760148,15
149247193,10/16/2017 0:00:00,46057742,11
141958365,7/2/2017 0:00:00,44850840,15
219457183,10/21/2020 0:00:00,64465153,11
193377239,8/31/2019 0:00:00,57610975,15
193771653,9/7/2019 0:00:00,57823195,15
206913059,4/13/2020 0:00:00,61191207,15
58429205,12/4/2013 0:00:00,20374012,11
239869711,10/7/2021 0:00:00,69486831,11
240511189,10/20/2021 0:00:00,69640277,15
240531434,10/20/2021 0:00:00,69513904,9
136889299,4/18/2017 0:00:00,43255500,9
